advertiser_disclosed_name,advertiser_legal_name,advertiser_id,unique_creatives,total_ads,display_name
Ceneo.pl sp. z o.o.,Ceneo.pl sp. z o.o.,AR07759631789215186945,238107,238107,Ceneo.pl sp. z o.o.
Adhost ApS,Adhost ApS,AR13408209911754522625,228866,228866,Adhost ApS
Salesoar S.r.l.,Salesoar S.r.l.,AR01262079369745006593,227577,227577,Salesoar S.r.l.
home24 SE,home24 SE,AR02968048076297601025,226691,226691,home24 SE
UAB Elektroninės prekybos centras,UAB Elektroninės prekybos centras,AR05327895935571722241,225276,225276,UAB Elektroninės prekybos cent...
LiveCareer Limited,LiveCareer Limited,AR01091261029960122369,217994,217994,LiveCareer Limited
Heureka Group a.s.,Heureka Group a.s.,AR04158677332179025921,217541,217541,Heureka Group a.s.
Inspigroup s.r.o.,Inspigroup s.r.o.,AR04384031036384739329,217090,217090,Inspigroup s.r.o.
"Ask Media Group, LLC","Ask Media Group, LLC",AR02915213536105857025,210578,210578,"Ask Media Group, LLC"
Parfümerie Douglas GmbH & Co.KG,Parfümerie Douglas GmbH & Co.KG,AR14602562114007597057,199580,199580,Parfümerie Douglas GmbH & Co.K...
Flix SE,Flix SE,AR03339040204500500481,198957,198957,Flix SE
BOL.COM B.V.,BOL.COM B.V.,AR10129747575264247809,189841,189841,BOL.COM B.V.
Trainline.com Limited,Trainline.com Limited,AR03272809060017111041,184418,184418,Trainline.com Limited
Online Comparison Shopping kft.,Online Comparison Shopping kft.,AR03290583215235923969,182936,182936,Online Comparison Shopping kft...
Wassersleben Beteiligungs UG (haftungsbeschränkt),Wassersleben Beteiligungs UG (haftungsbeschränkt),AR18299857188618764289,182488,182488,Wassersleben Beteiligungs UG (...
YYG Games Limited,YYG Games Limited,AR08889418366582784001,182038,182038,YYG Games Limited
Agoda Company Pte. Ltd.,Agoda Company Pte. Ltd.,AR13057680519578255361,179760,179760,Agoda Company Pte. Ltd.
On Web Consulting Ltd,On Web Consulting Ltd,AR04073403608375230465,178397,178397,On Web Consulting Ltd
CARREFOUR HYPERMARCHES,CARREFOUR HYPERMARCHES,AR12439250927406284801,176726,176726,CARREFOUR HYPERMARCHES
BlueVision Interactive Limited,BlueVision Interactive Limited,AR10942234166510485505,176369,176369,BlueVision Interactive Limited
PHD Germany GmbH,PHD Germany GmbH,AR02711595510333964289,174128,174128,PHD Germany GmbH
Channel Factory Nordics AB,Channel Factory Nordics AB,AR00227054648693882881,173998,173998,Channel Factory Nordics AB
ICA Sverige AB,ICA Sverige AB,AR09231692453659017217,173553,173553,ICA Sverige AB
Qatar Airways Group Q.C.S.C,Qatar Airways Group Q.C.S.C,AR10847042023190429697,169990,169990,Qatar Airways Group Q.C.S.C
Szallas Group Zrt,Szallas Group Zrt,AR15762581395668467713,165351,165351,Szallas Group Zrt
Hornbach Bouwmarkt (Nederland) B.V.,Hornbach Bouwmarkt (Nederland) B.V.,AR14824598866510217217,164285,164285,Hornbach Bouwmarkt (Nederland)...
Bergfreunde GmbH,Bergfreunde GmbH,AR10272562315962351617,161387,161387,Bergfreunde GmbH
Machineseeker Group GmbH,Machineseeker Group GmbH,AR12127491758334410753,160308,160308,Machineseeker Group GmbH
"Red Universal de Marketing y Bookings On Line, S.A.","Red Universal de Marketing y Bookings On Line, S.A.",AR13569819566778875905,158718,158718,Red Universal de Marketing y B...
Euro-net Sp. z o.o.,Euro-net Sp. z o.o.,AR02739701501441081345,157045,157045,Euro-net Sp. z o.o.
CTS EVENTIM AG & Co. KGaA,CTS EVENTIM AG & Co. KGaA,AR02922109655855398913,153292,153292,CTS EVENTIM AG & Co. KGaA
Sercanto srl,Sercanto srl,AR04125898141775953921,153243,153243,Sercanto srl
"Adobe, Inc","Adobe, Inc",AR15000638237259595777,147321,147321,"Adobe, Inc"
D-MOBILELAB SPAIN S.A.,D-MOBILELAB SPAIN S.A.,AR15714032992319963137,147018,147018,D-MOBILELAB SPAIN S.A.
FAVI a.s.,FAVI a.s.,AR00048597589313978369,145558,145558,FAVI a.s.
We love Holidays Ltd,We love Holidays Ltd,AR16812063852811255809,144764,144764,We love Holidays Ltd
Tripadvisor,TripAdvisor LLC,AR17572813749046214657,144379,144379,Tripadvisor
"Seznam.cz, a.s.","Seznam.cz, a.s.",AR01924891917003259905,141902,141902,"Seznam.cz, a.s."
ERLI SPÓŁKA AKCYJNA,ERLI SPÓŁKA AKCYJNA,AR10604640528635002881,141557,141557,ERLI SPÓŁKA AKCYJNA
VRG S.A,VRG S.A,AR11292181367279845377,140447,140447,VRG S.A
